Lb-PlB,PolymyxinE,0p25
Lb-Ple,Piericidin,20
Lb-Pq,Paraquat,10uM
Lb-Prm,Paramomycin,3p1
Lb-Psa,PseudomonicAcid,2
Lb-Ptm,Pentamidine,15
Lb-Ptz,Promethazine,100
Lb-Pvp,PVP,0p04
Lb-Py,Pyocyanin,10
Lb-Rm,Ramoplanin,150
Lb-Spc,Spectinomycin,1p5
Lb-Tcp,Teicoplanin,10
Lb-Tg,Tigecycline,10
Lb-Thi,Thiostrepton,0p8
Lb-Thl,Thiolutin,10
Lb-Tmp,Trimethoprim,0p1
Lb-Tob,Tobramycin,0p05
Lb-Ty,Tylosin,50
Lb-Vcm,Vancomycin,40
Lb-Vll,Vanillin,200
MET-C1,Metformin,3mM
MET-C2,Metformin,6mM
MET-C3,Metformin,12mM
MET-C4,Metformin,25mM
Mop-AB,MOPS,aaAB
Mop-AF,MOPS,aaAF
Mop-Com,MOPS,complete
Mop-FB,MOPS,aaFB
Mop-Gnp,MOPS,glucose
Mop-N4,MOPS,NaCl
Mop-Ns,MOPS,NoSalt
Mop-pH5,MOPS,pH5
Mop-pH9,MOPS,pH9
Mpc-Fma,MOPSc,FumaricAcid
Mpc-Sca,MOPSc,SuccinamicAcid
Mpn-Ala,MOPSn,LAlanine
Mpn-Arg,MOPSn,LArginine
Mpn-Gln,MOPSn,Lglutamine
Mpn-Gly,MOPSn,Glycine
Mpn-Ser,MOPSn,Lserine
Mpp-Dgc,MOPSp,Glucose6PO4
N4-Bp,NaCl,Bipyridyl
N4-Pq,NaCl,Paraquat
N4-Rt,NaCl,RT
N4-T37Uv,NaCl,T37CUV
N4-T40,NaCl,T40C
N4-Uv,NaCl,UV
Nov-Azt,Novobiocin,Aztreonam
NS-BP,NoSalt,Bipyridyl
Ns-Bp1,NoSalt,Bipyridyl
Ns-Bp2,NoSalt,BipyridylLate
Ns-Bs,NoSalt,BileSalts
Ns-Cef,NoSalt,Cefsulodin
Ns-Fu,NoSalt,Fumarate
Ns-Pq,NoSalt,Paraquat
Ns-Rt,NoSalt,RT
Ns-T37Uv,NoSalt,T37CUv
Ns-Uv,NoSalt,UV
Ns-pH5,NoSalt,pH5
Pms-Prc,PMS,Procaine
Prc-Rfm,Procaine,Rifampicin
Prc-Tmt,Procaine,Trimethoprim
Spc-Ffm,Spectinomycin,Fosfomycin
Spc-Ntf,Spectinomycin,Nitrofurantoin
Spc-Van,Spectinomycin,Vanillin
Spm-Tmt,Spiramycin,Trimethoprim
Sxt-Rfm,Sulfamonomethoxine,Rifampicin
TO-C1,Tobramycin,0p0125UM
TO-C2,Tobramycin,0p05UM
TO-C3,Tobramycin,0p2UM
TO-C4,Tobramycin,0p8UM
Tmt-A22,Trimethoprim,A22
Tmt-Cm,Trimethoprim,Chloramphenicol
Tmt-Cph,Trimethoprim,Cephalexin
Tmt-Ffm,Trimethoprim,Fosfomycin
Tmt-Im,Trimethoprim,Imipenem
Tmt-Py,Trimethoprim,Pyocyanin
pH5-Bp,pH5,Bipyridyl
pH5-Bs,pH5,BileSalts
pH5-Fu,pH5,Fumarate
pH5-Rt,pH5,RT
pH5-T37,pH5,T37C
pH5-T40,pH5,T40C
pH5-Uv,pH5,UV
pH9-A22,pH9,A22
pH9-Cef,pH9,Cefsulodin
pH9-Fu,pH9,Fumarate
pH9-Kno,pH9,NitrateK
pH9-T40,pH9,T40C
PH9-TOB,pH9,Tobramycin
pH9c-Rt,pH9,RT
PH9C-BS,pH9,BileSalts
PH9C-T37,pH9,T37C
pH9C-T40,pH9,T40C
